,date,open,high,low,close,volume
0,2026-01-21,4.909999847412109,5.099999904632568,4.210000038146973,4.610000133514404,9647100
1,2026-01-20,4.599999904632568,5.114999771118164,4.460000038146973,4.849999904632568,9022700
2,2026-01-16,4.880000114440918,4.989999771118164,4.610000133514404,4.829999923706055,5453400
3,2026-01-15,5.25,5.25,4.775000095367432,4.864999771118164,8083300
4,2026-01-14,4.880000114440918,5.329999923706055,4.599999904632568,5.309999942779541,9066900
5,2026-01-13,5.289999961853027,5.289999961853027,4.789999961853027,4.900000095367432,9225700
6,2026-01-12,4.800000190734863,5.309999942779541,4.559999942779541,5.170000076293945,10809700
7,2026-01-09,4.639999866485596,4.84499979019165,4.400000095367432,4.800000190734863,7785300
8,2026-01-08,4.519999980926514,4.659999847412109,4.300000190734863,4.53000020980835,6988100
9,2026-01-07,4.300000190734863,4.880000114440918,4.25,4.71999979019165,9595300
10,2026-01-06,4.760000228881836,4.980000019073486,4.289999961853027,4.369999885559082,8130600
11,2026-01-05,3.869999885559082,4.699999809265137,3.8399999141693115,4.659999847412109,12747700
12,2026-01-02,3.4200000762939453,3.7100000381469727,3.3299999237060547,3.700000047683716,3825700
13,2025-12-31,3.3399999141693115,3.3929998874664307,3.2100000381469727,3.3399999141693115,4827600
14,2025-12-30,3.5299999713897705,3.559999942779541,3.3399999141693115,3.359999895095825,4736300
15,2025-12-29,3.700000047683716,3.869999885559082,3.5,3.5,4887700
16,2025-12-26,4.03000020980835,4.03000020980835,3.765000104904175,3.819999933242798,3570800
17,2025-12-24,4.110000133514404,4.139999866485596,3.869999885559082,3.9700000286102295,3636500
18,2025-12-23,4.159999847412109,4.315000057220459,4.019999980926514,4.090000152587891,4353100
19,2025-12-22,4.079999923706055,4.429999828338623,3.9700000286102295,4.159999847412109,5879100
20,2025-12-19,3.7699999809265137,4.054999828338623,3.7699999809265137,3.9700000286102295,17018100
21,2025-12-18,3.75,3.9700000286102295,3.7049999237060547,3.7699999809265137,4284900
