,date,open,close,high,low,volume
0,2026-01-21,179.0500030517578,183.32000732421875,185.37899780273438,178.39999389648438,198539922
1,2026-01-20,181.89999389648438,178.07000732421875,182.3800048828125,177.61000061035156,223345300
2,2026-01-16,189.0800018310547,186.22999572753906,190.44000244140625,186.0800018310547,187967200
3,2026-01-15,186.5,187.0500030517578,189.6999969482422,186.3300018310547,206188600
4,2026-01-14,184.32000732421875,183.13999938964844,184.4499969482422,180.8300018310547,155014442
5,2026-01-13,185.0,185.80999755859375,188.11000061035156,183.39999389648438,160128900
6,2026-01-12,183.22000122070312,184.94000244140625,187.1199951171875,183.02000427246094,137968500
7,2026-01-09,185.0800018310547,184.86000061035156,186.33999633789062,183.6699981689453,131327500
8,2026-01-08,189.11000061035156,185.0399932861328,189.5500030517578,183.7100067138672,172457000
9,2026-01-07,188.57000732421875,189.11000061035156,191.3699951171875,186.55999755859375,153543200
10,2026-01-06,190.52000427246094,187.24000549316406,192.1699981689453,186.82000732421875,176862600
11,2026-01-05,191.75999450683594,188.1199951171875,193.6300048828125,186.14999389648438,183529700
12,2026-01-02,189.83999633789062,188.85000610351562,192.92999267578125,188.25999450683594,148240500
13,2025-12-31,189.57000732421875,186.5,190.55999755859375,186.49000549316406,120100500
14,2025-12-30,188.24000549316406,187.5399932861328,188.99000549316406,186.92999267578125,97687300
15,2025-12-29,187.7100067138672,188.22000122070312,188.75999450683594,185.91000366210938,120006100
16,2025-12-26,189.9199981689453,190.52999877929688,192.69000244140625,188.0,139740300
17,2025-12-24,187.94000244140625,188.61000061035156,188.91000366210938,186.58999633789062,65528500
18,2025-12-23,182.97000122070312,189.2100067138672,189.3300018310547,182.89999389648438,174873600
19,2025-12-22,183.9199981689453,183.69000244140625,184.16000366210938,182.35000610351562,129064400
20,2025-12-19,176.6699981689453,180.99000549316406,181.4499969482422,176.33999633789062,324925900
21,2025-12-18,174.52999877929688,174.13999938964844,176.14999389648438,171.82000732421875,176096000
22,2025-12-17,176.10000610351562,170.94000244140625,176.1300048828125,170.30999755859375,221065490
23,2025-12-16,176.25999450683594,177.72000122070312,178.49000549316406,174.89999389648438,148588100
24,2025-12-15,177.94000244140625,176.2899932861328,178.4199981689453,175.02999877929688,164775600
25,2025-12-12,181.11000061035156,175.02000427246094,182.82000732421875,174.6199951171875,204274900
26,2025-12-11,180.27999877929688,180.92999267578125,181.32000732421875,176.6199951171875,182136600
27,2025-12-10,184.96499633789062,183.77999877929688,185.47999572753906,182.03500366210938,158957099
28,2025-12-09,185.55999755859375,184.97000122070312,185.72000122070312,183.32000732421875,144719700
29,2025-12-08,182.63999938964844,185.5500030517578,188.0,182.39999389648438,204378100
30,2025-12-05,183.88999938964844,182.41000366210938,184.66000366210938,180.91000366210938,143971100
31,2025-12-04,181.6199951171875,183.3800048828125,184.52000427246094,179.9600067138672,167364900
32,2025-12-03,181.06992440272873,179.5800018310547,182.43984327721986,179.1000328161426,165138000
33,2025-12-02,181.74987648908228,181.4499053955078,185.6496685428864,179.98997995570696,182632200
34,2025-12-01,174.75027181562072,179.9099884033203,180.28997214473748,173.67033006996684,188131000
35,2025-11-28,179.0000253919654,176.99014282226562,179.28000857805475,176.49017066740046,121332800
36,2025-11-26,181.61988829154,180.2499542236328,182.8998157763143,178.2300777211247,183852000
37,2025-11-25,174.90026276869568,177.8101043701172,178.15008177330986,169.54056066153746,320600300
38,2025-11-24,179.48001348627363,182.5398406982422,183.4897847612219,176.47017128450955,256618300
39,2025-11-21,181.23500061035156,181.06939697265625,182.3000030517578,172.94000244140625,199664255
40,2025-11-20,195.9499969482422,180.63999938964844,196.0,179.85000610351562,340991100
41,2025-11-19,184.8000030517578,185.33999633789062,187.85409545898438,183.27999877929688,86437865
42,2025-11-18,183.3800048828125,181.36000061035156,184.8000030517578,179.64999389648438,212533500
43,2025-11-17,185.97000122070312,186.60000610351562,189.0,184.32000732421875,173628900
44,2025-11-14,182.86000061035156,190.1699981689453,191.00999450683594,180.5800018310547,186591900
45,2025-11-13,191.0500030517578,186.86000061035156,191.44000244140625,183.85000610351562,207423100
46,2025-11-12,195.72000122070312,193.8000030517578,195.88999938964844,191.1300048828125,154935300
47,2025-11-11,195.16000366210938,193.16000366210938,195.4199981689453,191.3000030517578,175777200
48,2025-11-10,195.11000061035156,199.0500030517578,199.94000244140625,193.7899932861328,198897100
49,2025-11-07,184.89999389648438,188.14999389648438,188.32000732421875,178.91000366210938,264942300
50,2025-11-06,196.4199981689453,188.0800018310547,197.6199951171875,186.3800048828125,223029800
51,2025-11-05,198.77000427246094,195.2100067138672,202.9199981689453,194.64999389648438,171350300
52,2025-11-04,202.94500732421875,198.69000244140625,203.9698944091797,197.92999267578125,185783248
53,2025-11-03,208.0800018310547,206.8800048828125,211.33999633789062,205.55999755859375,180267300
54,2025-10-31,206.4499969482422,202.49000549316406,207.97000122070312,202.07000732421875,179802200
55,2025-10-30,205.14999389648438,202.88999938964844,206.16000366210938,201.41000366210938,178864400
56,2025-10-29,207.97999572753906,207.0399932861328,212.19000244140625,204.77999877929688,308829600
57,2025-10-28,193.0500030517578,201.02999877929688,203.14999389648438,191.91000366210938,297986200
58,2025-10-27,189.99000549316406,191.49000549316406,192.0,188.42999267578125,153452700
