,date,open,close,high,low,volume
0,2026-01-21,231.0850067138672,231.30999755859375,232.3000030517578,226.8800048828125,46594728
1,2026-01-20,233.75999450683594,231.0,235.08999633789062,229.33999633789062,47737900
2,2026-01-16,239.08999633789062,239.1199951171875,239.57000732421875,236.41000366210938,45888300
3,2026-01-15,239.30999755859375,238.17999267578125,240.64999389648438,236.6300048828125,43003600
4,2026-01-14,241.14999389648438,236.64999389648438,241.1999969482422,236.22000122070312,41034681
5,2026-01-13,246.52999877929688,242.60000610351562,247.66000366210938,240.25,38371800
6,2026-01-12,246.72999572753906,246.47000122070312,248.94000244140625,245.9600067138672,35867800
7,2026-01-09,244.57000732421875,247.3800048828125,247.86000061035156,242.24000549316406,34560000
8,2026-01-08,243.05999755859375,246.2899932861328,246.41000366210938,241.8800048828125,39509800
9,2026-01-07,239.61000061035156,241.55999755859375,245.2899932861328,239.52000427246094,42236500
10,2026-01-06,232.10000610351562,240.92999267578125,243.17999267578125,232.07000732421875,53764700
11,2026-01-05,228.83999633789062,233.05999755859375,234.0,227.17999267578125,49733300
12,2026-01-02,231.33999633789062,226.5,235.4600067138672,224.6999969482422,51456200
13,2025-12-31,232.91000366210938,230.82000732421875,232.99000549316406,230.1199951171875,24383700
14,2025-12-30,231.2100067138672,232.52999877929688,232.77000427246094,230.1999969482422,21910500
15,2025-12-29,231.94000244140625,232.07000732421875,232.60000610351562,230.77000427246094,19797900
16,2025-12-26,232.0399932861328,232.52000427246094,232.99000549316406,231.17999267578125,15994700
17,2025-12-24,232.1300048828125,232.3800048828125,232.9499969482422,231.3300018310547,11420500
18,2025-12-23,229.05999755859375,232.13999938964844,232.4499969482422,228.72999572753906,29230200
19,2025-12-22,228.61000061035156,228.42999267578125,229.47999572753906,226.7100067138672,32261300
20,2025-12-19,226.75999450683594,227.35000610351562,229.1300048828125,225.5800018310547,85544400
21,2025-12-18,225.7100067138672,226.75999450683594,229.22999572753906,224.41000366210938,50272400
22,2025-12-17,224.55999755859375,221.27000427246094,225.19000244140625,221.19000244140625,43399540
23,2025-12-16,223.0399932861328,222.55999755859375,223.66000366210938,221.1300048828125,39298900
24,2025-12-15,227.92999267578125,222.5399932861328,227.92999267578125,221.5,47286100
25,2025-12-12,229.8699951171875,226.19000244140625,230.0800018310547,225.1199951171875,35639100
26,2025-12-11,230.7100067138672,230.27999877929688,232.11000061035156,228.69000244140625,28249600
27,2025-12-10,228.58999633789062,231.77999877929688,232.4199981689453,228.47000122070312,36373061
28,2025-12-09,226.83999633789062,227.9199981689453,228.57000732421875,225.11000061035156,25841700
29,2025-12-08,229.58999633789062,226.88999938964844,230.8300018310547,226.27000427246094,35019200
30,2025-12-05,230.32000732421875,229.52999877929688,231.24000549316406,228.5500030517578,33117400
31,2025-12-04,232.77000427246094,229.11000061035156,233.5,226.8000030517578,45683200
32,2025-12-03,233.35000610351562,232.3800048828125,233.3800048828125,230.61000061035156,35495100
33,2025-12-02,235.00999450683594,234.4199981689453,238.97000122070312,233.5500030517578,45785400
34,2025-12-01,233.22000122070312,233.8800048828125,235.8000030517578,232.25,42904000
35,2025-11-28,231.24000549316406,233.22000122070312,233.2899932861328,230.22000122070312,20292300
